Ensembl_Human	log2FoldChange	orig_padj_BH	orig_padj_bonf	re.estimated_pvalue	re.estimated_padj
ENSG00000065135	0.177496708	0.087054061	1	0.293021302	0.826571411
ENSG00000093009	-0.835755405	3.33e-05	0.056959284	0.021401372	0.237402347
ENSG00000102098	-0.703934759	0.12247254	1	0.335854755	0.862294563
ENSG00000091583	-0.485433098	0.512853636	1	0.645116293	0.986379164
ENSG00000141562	0.25901126	0.14838384	1	0.363287308	0.882869864
ENSG00000105971	0.545319008	0.03869378	1	0.215123405	0.741680947
ENSG00000067082	0.394312817	0.252617278	1	0.456595842	0.935769629
ENSG00000010803	-0.304548235	0.239298815	1	0.445862214	0.929652613
ENSG00000178741	-0.242208495	0.269584101	1	0.470191045	0.941849631
ENSG00000121068	-1.510099479	0.000181988	0.396893765	0.036215365	0.31473429
ENSG00000121075	-0.691577581	0.546958081	1	0.6682988	0.988959025
ENSG00000064300	-2.649225236	0.00011353	0.231444225	0.031268552	0.290709689
ENSG00000143816	1.154718253	9.03e-08	7.91e-05	0.003743396	0.080982015
ENSG00000151422	0.225638666	0.147197916	1	0.362041147	0.882838143
ENSG00000169180	0.186803695	0.13257379	1	0.346667677	0.872063811
ENSG00000068323	0.056629551	0.572070563	1	0.684826821	0.990939738
ENSG00000168646	-0.989028092	0.003380659	1	0.092531567	0.50794201
ENSG00000106009	0.143330841	0.356217189	1	0.535501393	0.96456431
ENSG00000146535	-0.466065429	3.67e-05	0.063653007	0.02205141	0.241002557
ENSG00000110628	-0.138840122	0.413631054	1	0.576798727	0.973620804
ENSG00000183067	0.044219969	0.850032972	1	0.880515411	0.997421634
ENSG00000150773	0.066999245	0.867523496	1	0.893735125	0.998294162
ENSG00000150768	0.177496746	0.307648616	1	0.499769831	0.953109751
ENSG00000255292	0.013462001	0.93229712	1	0.941315004	0.99957234
ENSG00000118972	-1.862610702	0.220066822	1	0.429915804	0.921102916
ENSG00000118971	-0.953975481	0.000626842	1	0.053644697	0.383897533
ENSG00000148358	0.253443395	0.00035588	0.861974217	0.044782451	0.350385684
ENSG00000102452	-1.3708623	0.000222166	0.498836811	0.038548921	0.325339161
ENSG00000204347	0.066354365	0.942518148	1	0.949745022	0.99957234
ENSG00000166828	-0.159094019	0.582800695	1	0.692629462	0.990939738
ENSG00000102385	-0.768342503	0.02082312	1	0.172675351	0.670779761
ENSG00000064201	0.070884085	0.933624679	1	0.9424183	0.99957234
ENSG00000106689	-0.933382753	0.484860086	NA	0.626278995	0.982006577
