Ensembl_Human	log2FoldChange	orig_padj_BH	orig_padj_bonf	re.estimated_pvalue	re.estimated_padj
ENSG00000065135	0.396794600518566	6.60267780798536e-06	0.0334775949957983	0.18655113140806	0.655870918341849
ENSG00000093009	1.19349928347336	1.98933911181584e-11	5.52977133159552e-08	0.0532009719389239	0.341230582887483
ENSG00000102098	-0.296047744689888	0.483458243158554	1	0.812682026172055	0.999982593374402
ENSG00000091583	-1.50899295875092	0.0208019105531281	1	0.479293614675913	0.945418595997129
ENSG00000141562	0.305884797328781	0.0520749282493386	1	0.546620431790169	0.975652675467399
ENSG00000105971	0.39082353859851	0.114139848818614	1	0.618151542008778	0.994753915141239
ENSG00000067082	0.735800129838007	0.0102313283403895	1	0.435700180257923	0.91820968329634
ENSG00000010803	-0.0830263969785499	0.740842018657046	1	0.906910450360064	0.999982593374402
ENSG00000178741	0.285894793472709	0.130598452963638	1	0.632030148419022	0.998593474746889
ENSG00000121068	-2.20021221107481	1.57849502119146e-08	5.85210094944044e-05	0.100963734602116	0.485428135105155
ENSG00000121075	-1.79757586062944	0.0820616984393617	1	0.58615536523148	0.987164799932355
ENSG00000064300	-2.7679018933467	1.63410309324665e-05	0.087586179806705	0.2055201184949	0.683486911306723
ENSG00000143816	-1.07305102487944	8.88920525736295e-07	0.0040221909591213	0.151327985413655	0.596115757154748
ENSG00000151422	-0.531792947197458	5.0989921113481e-05	0.293346287967625	0.232577988886581	0.720668504261726
ENSG00000169180	0.258470845945336	0.0165457661662234	1	0.464552171341084	0.936756206496507
ENSG00000068323	-0.251022675161074	0.000721880649749966	1	0.314240595707572	0.810686739981264
ENSG00000168646	-2.88780155183178	2.09637472800192e-16	3.67250400656093e-13	0.0185593634926411	0.188811068895579
ENSG00000106009	0.421501792703109	0.000545079418505709	1	0.303957908052774	0.803250279564459
ENSG00000146535	-1.03618396889729	2.28831115904582e-23	2.18256039795582e-20	0.00448993711089329	0.0838768334584865
ENSG00000110628	-0.717070712351924	4.742858261265e-08	0.000185538525564301	0.112584717358267	0.512918558651462
ENSG00000183067	-1.16343963157294	7.88313033328064e-14	1.75660425597807e-10	0.0318410068331623	0.254724859115347
ENSG00000150773	0.439528340140095	0.110432243034569	1	0.614677637117655	0.994753915141239
ENSG00000150768	1.04905866677396	4.90918783850479e-15	9.87524059635863e-12	0.0247232182348851	0.219046140753797
ENSG00000255292	0.445874209856244	2.74054214838112e-06	0.0131686644816005	0.170021101819794	0.630736891827187
ENSG00000118972	-1.90281917219773	0.149139828459404	1	0.646337094097444	0.999982593374402
ENSG00000118971	-2.35709090807166	1.03887336261547e-20	1.24798069236379e-17	0.00767820071817948	0.11385461458766
ENSG00000148358	-0.512638743180392	3.51868629554182e-15	6.99355217181264e-12	0.0239881993281892	0.215182580928301
ENSG00000102452	-3.01610463604515	2.03771633326194e-14	4.3176578556034e-11	0.0281382883638455	0.236766312776275
ENSG00000204347	-0.554961405877735	0.391751952184176	1	0.775978051577954	0.999982593374402
ENSG00000166828	-0.61520793897462	0.00473969188114542	1	0.394745679850182	0.886289024640996
ENSG00000102385	-1.15033130675428	0.000140300940927283	0.863846985535175	0.26031742957366	0.753692801222222
