METID	REPLACEMENTID
(-)-trans-carveol[c]	m00001c
(-)-trans-carveol[s]	m00001s
(+)-alpha-pinene[c]	m00002c
(+)-alpha-pinene[s]	m00002s
(10Z)-heptadecenoic acid[c]	m00003c
(10Z)-heptadecenoic acid[l]	m00003l
(10Z)-heptadecenoic acid[r]	m00003r
(10Z)-heptadecenoic acid[s]	m00003s
(10Z)-heptadecenoyl-CoA[c]	m00004c
(10Z)-heptadecenoyl-CoA[m]	m00004m
(10Z)-heptadecenoyl-CoA[r]	m00004r
(11R)-HPETE[c]	m00005c
(11Z)-docosenoyl-CoA[c]	m00006c
(11Z)-docosenoyl-CoA[m]	m00006m
(11Z)-docosenoyl-CoA[r]	m00006r
(11Z)-eicosenoyl-CoA[c]	m00007c
(11Z)-eicosenoyl-CoA[m]	m00007m
(11Z)-eicosenoyl-CoA[p]	m00007p
(11Z)-eicosenoyl-CoA[r]	m00007r
(11Z,14Z)-eicosadienoic acid[c]	m00008c
(11Z,14Z)-eicosadienoic acid[l]	m00008l
(11Z,14Z)-eicosadienoic acid[r]	m00008r
(11Z,14Z)-eicosadienoic acid[s]	m00008s
(11Z,14Z)-eicosadienoyl-CoA[c]	m00009c
(11Z,14Z)-eicosadienoyl-CoA[m]	m00009m
(11Z,14Z)-eicosadienoyl-CoA[r]	m00009r
(11Z,14Z,17Z)-eicosatrienoic acid[c]	m00010c
(11Z,14Z,17Z)-eicosatrienoic acid[l]	m00010l
(11Z,14Z,17Z)-eicosatrienoic acid[r]	m00010r
(11Z,14Z,17Z)-eicosatrienoic acid[s]	m00010s
(11Z,14Z,17Z)-eicosatrienoylcarnitine[c]	m00011c
(11Z,14Z,17Z)-eicosatrienoylcarnitine[m]	m00011m
(11Z,14Z,17Z)-eicosatrienoylcarnitine[r]	m00011r
(11Z,14Z,17Z)-eicosatrienoyl-CoA[c]	m00012c
(11Z,14Z,17Z)-eicosatrienoyl-CoA[m]	m00012m
(11Z,14Z,17Z)-eicosatrienoyl-CoA[r]	m00012r
(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate[c]	m00013c
(13E)-tetranor-16-carboxy-LTE4[p]	m00014p
(13E)-tetranor-16-oxo-16-CoA-LTE4[p]	m00015p
(13Z)-docosenoyl-CoA[c]	m00016c
